window_start,window_end,window_center,imu_count,emg_count,imu_qw_mean,imu_qw_std,imu_qw_min,imu_qw_max,imu_qx_mean,imu_qx_std,imu_qx_min,imu_qx_max,imu_qy_mean,imu_qy_std,imu_qy_min,imu_qy_max,imu_qz_mean,imu_qz_std,imu_qz_min,imu_qz_max,imu_ax_mean,imu_ax_std,imu_ax_min,imu_ax_max,imu_ay_mean,imu_ay_std,imu_ay_min,imu_ay_max,imu_az_mean,imu_az_std,imu_az_min,imu_az_max,imu_gx_mean,imu_gx_std,imu_gx_min,imu_gx_max,imu_gy_mean,imu_gy_std,imu_gy_min,imu_gy_max,imu_gz_mean,imu_gz_std,imu_gz_min,imu_gz_max,imu_qw_last,imu_qx_last,imu_qy_last,imu_qz_last,imu_ax_last,imu_ay_last,imu_az_last,imu_gx_last,imu_gy_last,imu_gz_last,emg_0_mean,emg_0_std,emg_0_min,emg_0_max,emg_1_mean,emg_1_std,emg_1_min,emg_1_max,emg_2_mean,emg_2_std,emg_2_min,emg_2_max,emg_3_mean,emg_3_std,emg_3_min,emg_3_max,emg_4_mean,emg_4_std,emg_4_min,emg_4_max,emg_5_mean,emg_5_std,emg_5_min,emg_5_max,emg_6_mean,emg_6_std,emg_6_min,emg_6_max,emg_7_mean,emg_7_std,emg_7_min,emg_7_max,emg_8_mean,emg_8_std,emg_8_min,emg_8_max,emg_9_mean,emg_9_std,emg_9_min,emg_9_max,emg_10_mean,emg_10_std,emg_10_min,emg_10_max,emg_11_mean,emg_11_std,emg_11_min,emg_11_max,emg_12_mean,emg_12_std,emg_12_min,emg_12_max,emg_13_mean,emg_13_std,emg_13_min,emg_13_max,emg_14_mean,emg_14_std,emg_14_min,emg_14_max,emg_15_mean,emg_15_std,emg_15_min,emg_15_max
10280,10380,10330.0,6,2,0.96,0.008164965809277268,0.95,0.97,-0.07333333333333335,0.004714045207910314,-0.08,-0.07,-0.02,0.0,-0.02,-0.02,-0.265,0.029860788111948193,-0.31,-0.22,-0.03166666666666667,0.027938424357067018,-0.08,0.01,-0.085,0.01384437310486346,-0.1,-0.06,0.88,0.005773502691896263,0.87,0.89,-4.2716666666666665,13.000324889102666,-28.81,6.25,2.6149999999999998,12.370417333299633,-14.81,25.06,-108.51833333333333,5.68644123234285,-114.56,-97.12,0.95,-0.08,-0.02,-0.31,0.01,-0.08,0.88,-28.81,-14.81,-110.06,1.0,1.0,0.0,2.0,-0.5,0.5,-1.0,0.0,1.0,1.0,0.0,2.0,-18.5,2.5,-21.0,-16.0,7.0,7.0,0.0,14.0,1.0,4.0,-3.0,5.0,-0.5,1.5,-2.0,1.0,1.5,1.5,0.0,3.0,1.5,0.5,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,64.5,20.5,44.0,85.0,-7.0,5.0,-12.0,-2.0,0.5,2.5,-2.0,3.0,-2.0,2.0,-4.0,0.0,-1.5,2.5,-4.0,1.0
10330,10430,10380.0,5,2,0.946,0.010198039027185543,0.93,0.96,-0.076,0.004898979485566354,-0.08,-0.07,-0.02,0.0,-0.02,-0.02,-0.31,0.028284271247461894,-0.35,-0.27,0.008000000000000002,0.052306787322488085,-0.08,0.07,-0.092,0.023999999999999997,-0.12,-0.06,0.884,0.013564659966250548,0.87,0.91,-15.925999999999998,11.252343044895138,-28.81,4.62,-0.5219999999999999,10.000810767132833,-14.81,16.44,-108.58600000000001,6.020051827019429,-114.94,-97.12,0.93,-0.08,-0.02,-0.35,0.05,-0.12,0.88,-20.25,16.44,-110.94,-3.5,3.5,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,2.0,-7.0,9.0,-16.0,2.0,11.5,2.5,9.0,14.0,3.0,2.0,1.0,5.0,-2.0,3.0,-5.0,1.0,0.0,3.0,-3.0,3.0,1.5,0.5,1.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,3.0,6.0,27.0,17.0,10.0,44.0,-14.0,2.0,-16.0,-12.0,-2.0,0.0,-2.0,-2.0,-4.0,4.0,-8.0,0.0,-4.0,0.0,-4.0,-4.0
10380,10480,10430.0,5,3,0.9259999999999999,0.010198039027185548,0.91,0.94,-0.08,0.0,-0.08,-0.08,-0.016,0.004898979485566357,-0.02,-0.01,-0.364,0.024166091947189147,-0.4,-0.33,0.042,0.019390719429665318,0.02,0.07,-0.11599999999999999,0.019595917942265426,-0.14,-0.08,0.882,0.017204650534085267,0.86,0.91,-13.586000000000002,6.937805416700586,-20.81,-4.19,21.94,12.412994803833602,0.13,33.44,-107.9,5.458366055881558,-114.94,-99.56,0.91,-0.08,-0.01,-0.4,0.02,-0.12,0.86,-4.19,27.94,-110.12,-5.0,2.160246899469287,-7.0,-2.0,-1.0,0.816496580927726,-2.0,0.0,0.6666666666666666,1.8856180831641267,-2.0,2.0,-23.333333333333332,27.776888874666213,-62.0,2.0,1.3333333333333333,6.548960901462833,-7.0,9.0,-1.6666666666666667,1.8856180831641267,-3.0,1.0,-0.3333333333333333,4.642796092394707,-5.0,6.0,0.0,2.160246899469287,-3.0,2.0,1.6666666666666667,0.4714045207910317,1.0,2.0,48.333333333333336,36.16935473881477,0.0,87.0,3.0,2.943920288775949,-1.0,6.0,-3.0,9.273618495495704,-11.0,10.0,-10.666666666666666,5.557777333511022,-16.0,-3.0,-1.0,2.160246899469287,-3.0,2.0,-5.0,2.943920288775949,-8.0,-1.0,-2.3333333333333335,1.247219128924647,-4.0,-1.0
10430,10530,10480.0,5,3,0.914,0.01019803902718558,0.9,0.93,-0.08,0.0,-0.08,-0.08,-0.012,0.004,-0.02,-0.01,-0.396,0.024166091947189144,-0.43,-0.36,0.01,0.027568097504180444,-0.03,0.05,-0.11600000000000002,0.023323807579381208,-0.14,-0.08,0.868,0.013266499161421611,0.85,0.89,-7.836,4.262293279444765,-16.12,-4.19,23.7,10.096401339091072,6.0,33.44,-104.91199999999999,3.665828146544789,-110.12,-99.56,0.9,-0.08,-0.01,-0.43,-0.01,-0.14,0.87,-7.06,6.0,-103.25,-1.0,4.546060565661952,-6.0,5.0,-9.666666666666666,11.556623882239812,-26.0,-1.0,-0.6666666666666666,3.7712361663282534,-6.0,2.0,-12.0,40.033319456006474,-62.0,36.0,-2.3333333333333335,3.681787005729087,-7.0,2.0,-3.6666666666666665,0.9428090415820634,-5.0,-3.0,1.6666666666666667,3.2998316455372216,-2.0,6.0,0.0,2.160246899469287,-3.0,2.0,0.6666666666666666,1.247219128924647,-1.0,2.0,61.0,20.11632835948615,38.0,87.0,0.0,2.943920288775949,-3.0,4.0,-11.333333333333334,2.8674417556808756,-15.0,-8.0,-10.0,4.96655480858378,-14.0,-3.0,-1.0,2.160246899469287,-3.0,2.0,-2.6666666666666665,2.3570226039551585,-6.0,-1.0,-0.3333333333333333,1.699673171197595,-2.0,2.0
10480,10580,10530.0,5,2,0.8939999999999999,0.01019803902718558,0.88,0.91,-0.08,0.0,-0.08,-0.08,-0.01,0.0,-0.01,-0.01,-0.438,0.017204650534085267,-0.46,-0.41,0.002,0.02135415650406262,-0.03,0.03,-0.136,0.025768197453450246,-0.18,-0.1,0.8800000000000001,0.017888543819998333,0.85,0.9,-2.424,3.3712822486407155,-7.06,2.06,4.436,8.50001552939758,-5.87,19.37,-81.088,24.885224853314064,-107.69,-42.44,0.88,-0.08,-0.01,-0.46,0.0,-0.13,0.89,-2.12,3.62,-42.44,1.5,3.5,-2.0,5.0,-16.5,9.5,-26.0,-7.0,-1.5,4.5,-6.0,3.0,-7.5,43.5,-51.0,36.0,8.0,10.0,-2.0,18.0,-2.5,2.5,-5.0,0.0,-0.5,1.5,-2.0,1.0,-2.0,1.0,-3.0,-1.0,-1.5,0.5,-2.0,-1.0,27.5,10.5,17.0,38.0,-4.0,1.0,-5.0,-3.0,-12.5,2.5,-15.0,-10.0,-10.5,3.5,-14.0,-7.0,-1.0,1.0,-2.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,2.0
10530,10630,10580.0,5,2,0.884,0.00489897948556636,0.88,0.89,-0.08,0.0,-0.08,-0.08,-0.008,0.004,-0.01,-0.0,-0.458,0.011661903789690588,-0.47,-0.44,0.014000000000000002,0.011999999999999999,0.0,0.03,-0.136,0.023323807579381198,-0.18,-0.11,0.8859999999999999,0.01019803902718558,0.87,0.9,-3.8879999999999995,5.048118065180329,-10.69,2.06,-1.15,3.194557872382343,-5.87,3.62,-54.364,19.684296888636894,-89.31,-36.38,0.88,-0.08,-0.0,-0.47,0.02,-0.11,0.88,-10.69,-3.0,-40.94,-2.0,0.0,-2.0,-2.0,-37.0,30.0,-67.0,-7.0,2.5,0.5,2.0,3.0,-23.0,28.0,-51.0,5.0,3.5,14.5,-11.0,18.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,-0.5,0.5,-1.0,0.0,-1.0,1.0,-2.0,0.0,-33.5,50.5,-84.0,17.0,0.0,5.0,-5.0,5.0,-4.0,6.0,-10.0,2.0,-7.5,0.5,-8.0,-7.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,6.0
10580,10680,10630.0,5,3,0.8720000000000001,0.007483314773547889,0.86,0.88,-0.08,0.0,-0.08,-0.08,-0.002,0.004,-0.01,-0.0,-0.48200000000000004,0.011661903789690611,-0.5,-0.47,-0.006,0.014966629547095767,-0.02,0.02,-0.126,0.010198039027185574,-0.14,-0.11,0.884,0.01019803902718558,0.87,0.9,-6.414,5.2876520309112625,-10.69,4.0,-3.112,1.8741974282342828,-4.75,0.44,-49.938,9.975053684066067,-63.56,-36.38,0.86,-0.08,-0.0,-0.5,-0.01,-0.14,0.88,4.0,-3.81,-63.56,-1.0,0.816496580927726,-2.0,0.0,-15.666666666666666,42.4682888230213,-67.0,37.0,3.0,1.4142135623730951,2.0,5.0,-22.333333333333332,22.050447211388303,-49.0,5.0,-5.333333333333333,4.921607686744467,-11.0,1.0,-1.0,2.160246899469287,-4.0,1.0,-0.3333333333333333,2.3570226039551585,-2.0,3.0,-0.3333333333333333,1.247219128924647,-2.0,1.0,-0.6666666666666666,0.9428090415820634,-2.0,0.0,-30.0,39.42080668885405,-84.0,9.0,0.6666666666666666,4.189935029992178,-5.0,5.0,-25.333333333333332,26.386023236217735,-61.0,2.0,-7.333333333333333,6.548960901462833,-15.0,1.0,-1.0,2.449489742783178,-4.0,2.0,1.0,1.632993161855452,-1.0,3.0,1.3333333333333333,3.39934634239519,-2.0,6.0
10630,10730,10680.0,5,3,0.8619999999999999,0.007483314773547889,0.85,0.87,-0.078,0.0039999999999999975,-0.08,-0.07,-0.002,0.004,-0.01,-0.0,-0.5,0.014142135623730963,-0.52,-0.48,-0.004,0.01624807680927192,-0.02,0.02,-0.128,0.011661903789690608,-0.14,-0.11,0.8859999999999999,0.01019803902718558,0.87,0.9,3.786,10.701415981074655,-8.5,16.37,1.9119999999999997,8.624002319109149,-4.75,17.56,-59.974000000000004,4.704647064339683,-63.81,-52.5,0.85,-0.07,-0.0,-0.52,0.01,-0.11,0.89,16.37,17.56,-63.69,0.3333333333333333,1.247219128924647,-1.0,2.0,41.0,49.07137658554119,-17.0,103.0,4.0,1.4142135623730951,2.0,5.0,-30.0,13.589211407093005,-49.0,-18.0,-4.0,3.559026084010437,-7.0,1.0,-1.3333333333333333,2.0548046676563256,-4.0,1.0,1.6666666666666667,2.6246692913372702,-2.0,4.0,0.0,1.4142135623730951,-2.0,1.0,-0.6666666666666666,0.9428090415820634,-2.0,0.0,17.0,29.93325909419153,-15.0,57.0,-2.0,2.943920288775949,-5.0,2.0,-33.0,19.86621923433512,-61.0,-17.0,-3.0,8.640987597877148,-15.0,5.0,-1.3333333333333333,2.0548046676563256,-4.0,1.0,1.3333333333333333,1.699673171197595,-1.0,3.0,-1.3333333333333333,0.9428090415820634,-2.0,0.0
10680,10780,10730.0,5,2,0.8459999999999999,0.01019803902718558,0.83,0.86,-0.07200000000000001,0.0039999999999999975,-0.08,-0.07,-0.002,0.004,-0.01,-0.0,-0.53,0.014142135623730963,-0.55,-0.51,0.0,0.01414213562373095,-0.02,0.02,-0.11400000000000002,0.016248076809271924,-0.14,-0.09,0.89,0.012649110640673528,0.87,0.91,6.247999999999999,9.786045983950823,-8.13,16.37,16.312,5.82360506902726,5.0,21.25,-62.826,1.8635943764671545,-65.31,-60.44,0.83,-0.07,0.0,-0.55,-0.02,-0.11,0.89,-8.13,20.0,-65.31,1.5,0.5,1.0,2.0,105.5,2.5,103.0,108.0,3.0,2.0,1.0,5.0,28.5,46.5,-18.0,75.0,-8.0,1.0,-9.0,-7.0,1.0,2.0,-1.0,3.0,3.5,0.5,3.0,4.0,2.5,1.5,1.0,4.0,-2.0,2.0,-4.0,0.0,44.5,12.5,32.0,57.0,-3.0,0.0,-3.0,-3.0,-17.5,3.5,-21.0,-14.0,-10.0,15.0,-25.0,5.0,-2.0,3.0,-5.0,1.0,-0.5,2.5,-3.0,2.0,-0.5,1.5,-2.0,1.0
10730,10830,10780.0,5,2,0.834,0.01019803902718558,0.82,0.85,-0.068,0.0040000000000000036,-0.07,-0.06,0.004,0.004898979485566357,-0.0,0.01,-0.55,0.014142135623730933,-0.57,-0.53,-3.4694469519536144e-19,0.01673320053068151,-0.02,0.03,-0.10200000000000001,0.014696938456699067,-0.12,-0.08,0.898,0.00979795897113272,0.89,0.91,0.8499999999999996,6.695909198906449,-8.13,10.44,21.748,3.1274999600319746,17.75,27.12,-63.702,2.518224771540459,-66.44,-60.44,0.82,-0.06,0.01,-0.57,0.03,-0.08,0.91,6.5,27.12,-66.44,1.0,0.0,1.0,1.0,16.5,91.5,-75.0,108.0,-2.5,3.5,-6.0,1.0,45.5,29.5,16.0,75.0,-8.0,1.0,-9.0,-7.0,3.5,0.5,3.0,4.0,1.5,1.5,0.0,3.0,2.0,2.0,0.0,4.0,-4.0,0.0,-4.0,-4.0,-39.5,71.5,-111.0,32.0,-2.0,1.0,-3.0,-1.0,-19.5,5.5,-25.0,-14.0,-16.5,8.5,-25.0,-8.0,-2.0,3.0,-5.0,1.0,-1.0,2.0,-3.0,1.0,-1.0,2.0,-3.0,1.0
